role,perspective_type,detail
tabuchi,assignment,この製品がBtoBなのかBtoCなのかが明確になっているか。
tabuchi,assignment,この製品がどの業界・業種に対してニーズがあるのかが伝わるように記載されているか。
tabuchi,assignment,この製品の売りとなる部分が明確になっているか。
tabuchi,assignment,この製品の売りとなる部分について、セールスポイントとなるキーワードが存在するか。
tabuchi,assignment,この製品を使用した際のユーザーに対する利益が、明確に記載されているか。
tabuchi,assignment,この製品を使用するターゲット層に対して、この商品を導入したいかどうかの事前調査が出来ているか。
tabuchi,assignment,この製品を使用するターゲット像が明確に定義されているか。
tabuchi,assignment,この製品を使用する際の操作手順が、読み手に伝わるように記載されているか。
tabuchi,assignment,この製品を導入したことによる顧客の業務への影響が考慮できているか。
tabuchi,assignment,ターゲット層はこの製品を導入する資産的余裕があるのかが考慮できているか。
tabuchi,evaluation,この製品の品質として記載されている評価基準は妥当であるか。
tabuchi,evaluation,検証に必要なデータを取得する方法が実現可能性の観点から妥当であるか。
tabuchi,evaluation,検証に必要なデータを取得する方法が明確になっているか。
common,evaluation,PoCが成功したと判断する条件が明確に定義されているか。
common,evaluation,この製品導入に必要な精度水準が明確になっているか。
tabuchi,feasibility,この製品で実現したいサービス・機能の実現可能性について考慮されているか。
tabuchi,feasibility,この製品で実現したいサービス・機能を実現するための課題や懸念点について記載されているか。
tabuchi,feasibility,この製品にAIを使用することによる利点が明確になっているか。
tabuchi,feasibility,この製品におけるAIの業務内容について明確になっているか。
common,feasibility,課題起点ではなくAI活用ありきの製品になってしまってないか。
tabuchi,overall,資料全体から、開発する製品に対するイメージが掴めるような構成になっているか。
common,overall,この資料を通じて何を承認・判断してほしいのかが明確になっているか。
common,overall,課題・解決策・効果の流れが伝わりやすい構成順になっているか。
common,overall,用語や表記が資料全体で統一されているか。
tabuchi,plan,この製品を導入してもらうためにアピールできる対象が明確になっているか。
tabuchi,plan,ターゲット層を意識した開発・販売戦略になっているか。
tabuchi,plan,開発する製品に合わせた営業戦略が想定されているか。
tabuchi,plan,開発プロセスとして記載しているスケジュールや作業工数の見積もりは現実的か。
tabuchi,plan,記載されている販売戦略について、営業部署と認識合わせおよび合意が出来ているか。
tabuchi,plan,記載している費用で実現できるという理由が明確に説明されているか。
tabuchi,plan,将来の予測・見込みを立てている場合、その予測の数値が妥当であるかどうかの理由付けが明確にされているか。
tabuchi,plan,将来の予測・見込みを立てている場合、現時点での実績としてどうなっているかが表現されているか。
tabuchi,plan,同じ製品でも顧客ごとに仕様を変える必要がある場合、その作業にかかるコストが考慮できているか。
common,plan,効果創出までの事業仮説が説得力のあるものになっているか。
common,plan,初期投資と継続コストに対して、どの程度で回収できるのかの見通しが明確になっているか。
tabuchi,priority,開発する製品の試用方法について、どのような体験をユーザーに提供する想定か明記されているか。
tabuchi,priority,記載されている販売戦略について、実現可能性が考慮できているか。
tabuchi,priority,自社の製品として売り出す場合、アピールポイントとなる部分が明確に記載されているか。
tabuchi,priority,自社の利益につながる形でアイディア化できているか。またそれが明確になっているか。
tabuchi,priority,他の既存の製品との差別化について、その差別化に市場価値があるか。
tabuchi,priority,他の既存の製品と比べて差別化が出来ているか。また、その差別化が妥当な内容であるか。
common,priority,短期効果と中長期の戦略価値が混在してしまっていないか。
common,purpose,意思決定に必要な比較材料が整理されているか。
common,purpose,補足している内容と、資料の記載内容にズレがないかどうか。
tabuchi,story,この製品を売り出したいという意気込みが感じられるか。
tabuchi,story,資料に記載されている内容が整理されているか。特に同じ欄に記載されている内容について、異なる観点の内容が含まれていないか。
tabuchi,story,時系列順が存在する項目については、時系列順に並べることで読み手の負担を軽減できでいるか。
common,story,情報を詰め込みすぎてしまってないか。
